,Area,Sample,Image,Channel,Type,Threshold,Percentage,True_Channel,Treatment,Time,Notes
14,0.401,SH_5dpl_sample5_MAX_C1.tif,SH_5dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.026,6.555,EdU,Sym_HS,5dpl,
15,0.401,SH_5dpl_sample5_MAX_C1.tif,SH_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
16,0.401,SH_5dpl_sample5_MAX_C1.tif,SH_5dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.008,2.039,Caspase,Sym_HS,5dpl,
17,0.467,SH_5dpl_sample6_MAX_C1.tif,SH_5dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
18,0.467,SH_5dpl_sample6_MAX_C1.tif,SH_5dpl_sample6_MAX_C4.tif,Second,Threshold Area,0.018,3.932,EdU,Sym_HS,5dpl,
19,0.467,SH_5dpl_sample6_MAX_C1.tif,SH_5dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,5dpl,
20,0.467,SH_5dpl_sample6_MAX_C1.tif,SH_5dpl_sample6_MAX_C3.tif,Second,Threshold Area,0.041,8.675,Caspase,Sym_HS,5dpl,
21,0.279,SH_8dpl_sample1_MAX_C1.tif,SH_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
22,0.279,SH_8dpl_sample1_MAX_C1.tif,SH_8dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.036,12.974,EdU,Sym_HS,8dpl,
23,0.279,SH_8dpl_sample1_MAX_C1.tif,SH_8dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
24,0.279,SH_8dpl_sample1_MAX_C1.tif,SH_8dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.002,0.639,Caspase,Sym_HS,8dpl,
25,0.313,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
26,0.313,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.006,1.815,EdU,Sym_HS,8dpl,
27,0.313,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
28,0.313,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C3.tif,Second,Threshold Area,5.93E-04,0.189,Caspase,Sym_HS,8dpl,
29,0.193,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
30,0.193,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.005,2.846,EdU,Sym_HS,8dpl,
31,0.193,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
32,0.193,SH_8dpl_sample2_MAX_C1.tif,SH_8dpl_sample2_MAX_C3.tif,Second,Threshold Area,5.19E-04,0.269,Caspase,Sym_HS,8dpl,
33,0.083,SH_8dpl_sample2_side_MAX_C1.tif,SH_8dpl_sample2_side_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,BAD
34,0.083,SH_8dpl_sample2_side_MAX_C1.tif,SH_8dpl_sample2_side_MAX_C3.tif,Second,Threshold Area,3.23E-05,0.039,Caspase,Sym_HS,8dpl,BAD
35,0.083,SH_8dpl_sample2_side_MAX_C1.tif,SH_8dpl_sample2_side_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,BAD
36,0.083,SH_8dpl_sample2_side_MAX_C1.tif,SH_8dpl_sample2_side_MAX_C4.tif,Second,Threshold Area,7.59E-05,0.092,EdU,Sym_HS,8dpl,BAD
1,0.333,SH_8dpl_sample3_MAX_C1.tif,SH_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,"Big sample, low signal"
2,0.333,SH_8dpl_sample3_MAX_C1.tif,SH_8dpl_sample3_MAX_C4.tif,Second,Threshold Area,3.38E-04,0.102,EdU,Sym_HS,8dpl,"Big sample, low signal"
3,0.333,SH_8dpl_sample3_MAX_C1.tif,SH_8dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,"Big sample, low signal"
4,0.333,SH_8dpl_sample3_MAX_C1.tif,SH_8dpl_sample3_MAX_C3.tif,Second,Threshold Area,1.36E-04,0.041,Caspase,Sym_HS,8dpl,"Big sample, low signal"
5,0.517,SH_8dpl_sample4_MAX_C1.tif,SH_8dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_HS,8dpl,
